Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Cogoleto;Genova Sampierdarena;22 km;3kVcc;Gabarit continental;;
Cogoleto;Genova Piazza Principe;24 km;3kVcc;Gabarit continental;;
Savona;Genova Piazza Principe;42 km;3kVcc;Gabarit continental;;
Genova Piazza Principe;Genova Brignole;3 km;3kVcc;Gabarit continental;;
Genova Sampierdarena;Ronco Scrivia;25 km;3kVcc;Gabarit continental;;
Genova Sestri Ponente Aeroporto;Ronco Scrivia;28 km;3kVcc;Gabarit continental;;
Genova Piazza Principe;Ronco Scrivia;28 km;3kVcc;Gabarit continental;;
Ronco Scrivia;Arquata Scrivia;11 km;3kVcc;Gabarit continental;;
Genova Piazza Principe;Arquata Scrivia;39 km;3kVcc;Gabarit continental;;
Genova Brignole;Arquata Scrivia;42 km;3kVcc;Gabarit continental;;
Arquata Scrivia;Tortona;25 km;3kVcc;Gabarit continental;;
Tortona;Voghera;16 km;3kVcc;Gabarit continental;;
Voghera;Bressana-Bottarone;31 km;3kVcc;Gabarit continental;;
Bressana-Bottarone;Pavia;12 km;3kVcc;Gabarit continental;;
Genova Piazza Principe;Voghera;79 km;3kVcc;Gabarit continental;;
Voghera;Pavia;25 km;3kVcc;Gabarit continental;;
Genova Piazza Principe;Pavia;104 km;3kVcc;Gabarit continental;;
Pavia;Milano Rogoredo;29 km;3kVcc;Gabarit continental;;
Milano Rogoredo;Milano Lambrate;6 km;3kVcc;Gabarit continental;;
Pavia;Milano Lambrate;35 km;3kVcc;Gabarit continental;;
Milano Centrale;Milano Lambrate;3 km;3kVcc;Gabarit continental;;
Milano Centrale;Pavia;38 km;3kVcc;Gabarit continental;;
Tortona;Pavia;41 km;3kVcc;Gabarit continental;;
Nantes;Nantes-État;5 km;25kVac;Gabarit continental;;
Nantes;Rezé Pont-Rousseau;5 km;Non-electrifie;Gabarit continental;;
Rezé Pont-Rousseau;Ste Pazanne;24 km;Non-electrifie;Gabarit continental;;
Nantes;Ste Pazanne;29 km;Non-electrifie;Gabarit continental;;
Ste Pazanne;St Hilaire de Chaléons;4 km;Non-electrifie;Gabarit continental;;
St Hilaire de Chaléons;Pornic;26 km;Non-electrifie;Gabarit continental;;
Ste Pazanne;Pornic;30 km;Non-electrifie;Gabarit continental;;
Nantes;Pornic;59 km;Non-electrifie;Gabarit continental;;
Fulda;Hünfeld;17 km;15kVac;Gabarit continental;;
Hünfeld;Bad Hersfeld;26 km;15kVac;Gabarit continental;;
Fulda;Bad Hersfeld;43 km;15kVac;Gabarit continental;;
Bad Hersfeld;Bebra;13 km;15kVac;Gabarit continental;;
Fulda;Bebra;56 km;15kVac;Gabarit continental;;
Bebra;Ronshausen;5 km;15kVac;Gabarit continental;;
Bad Hersfeld;Ronshausen;15 km;15kVac;Gabarit continental;Via Berliner Kurve;
Ronshausen;Gerstungen;16 km;15kVac;Gabarit continental;;
Gerstungen;Eisenach West;22 km;15kVac;Gabarit continental;;
Eisenach West;Eisenach;2 km;15kVac;Gabarit continental;;
Gerstungen;Eisenach;24 km;15kVac;Gabarit continental;;
Bebra;Eisenach;45 km;15kVac;Gabarit continental;;
Bebra;Gerstungen;21 km;15kVac;Gabarit continental;;
Fulda;Ronshausen;58 km;15kVac;Gabarit continental;Via Berliner Kurve;
Fulda;Gerstungen;74 km;15kVac;Gabarit continental;;
Fulda;Eisenach;98 km;15kVac;Gabarit continental;;
Eisenach;Wutha;5 km;15kVac;Gabarit continental;;
Wutha;Fröttstädt;13 km;15kVac;Gabarit continental;;
Eisenach;Fröttstädt;18 km;15kVac;Gabarit continental;;
Fröttstädt;Gotha;10 km;15kVac;Gabarit continental;;
Eisenach;Gotha;28 km;15kVac;Gabarit continental;;
Gerstungen;Gotha;52 km;15kVac;Gabarit continental;;
Bebra;Gotha;73 km;15kVac;Gabarit continental;;
Fulda;Gotha;129 km;15kVac;Gabarit continental;;
Gotha;Seebergen;6 km;15kVac;Gabarit continental;;
Seebergen;Neudietendorf;9 km;15kVac;Gabarit continental;;
Gotha;Neudietendorf;15 km;15kVac;Gabarit continental;;
Neudietendorf;Erfurt Hbf;13 km;15kVac;Gabarit continental;;
Gotha;Erfurt Hbf;28 km;15kVac;Gabarit continental;;
Bebra;Erfurt Hbf;101 km;15kVac;Gabarit continental;;
Erfurt Hbf;Weimar;21 km;15kVac;Gabarit continental;;
Weimar;Großheringen;29 km;15kVac;Gabarit continental;;
Großheringen;Naumburg (Saale) Hbf;13 km;15kVac;Gabarit continental;;
Weimar;Naumburg (Saale) Hbf;42 km;15kVac;Gabarit continental;;
Naumburg (Saale) Hbf;Weißenfels;14 km;15kVac;Gabarit continental;;
Weißenfels;Großkorbetha;8 km;15kVac;Gabarit continental;;
Großkorbetha;Markranstädt;17 km;15kVac;Gabarit continental;;
Markranstädt;Leipzig-Leutzsch;8 km;15kVac;Gabarit continental;;
Leipzig-Leutzsch;Leipzig-Gohlis;5 km;15kVac;Gabarit continental;;
Leipzig-Gohlis;Leipzig Hbf;2 km;15kVac;Gabarit continental;;
Leipzig-Leutzsch;Leipzig Hbf;7 km;15kVac;Gabarit continental;;
Großkorbetha;Leipzig Hbf;32 km;15kVac;Gabarit continental;;
Weißenfels;Leipzig Hbf;40 km;15kVac;Gabarit continental;;
Naumburg (Saale) Hbf;Leipzig Hbf;54 km;15kVac;Gabarit continental;;
Weimar;Leipzig Hbf;95 km;15kVac;Gabarit continental;;
Erfurt Hbf;Leipzig Hbf;117 km;15kVac;Gabarit continental;;
Gotha;Leipzig Hbf;145 km;15kVac;Gabarit continental;;
Bebra;Leipzig Hbf;218 km;15kVac;Gabarit continental;;
Fulda;Leipzig Hbf;274 km;15kVac;Gabarit continental;;
Leipzig-Gohlis;Leipzig-Wahren;4 km;15kVac;Gabarit continental;;
Leipzig Hbf;Leipzig-Wahren;6 km;15kVac;Gabarit continental;;
Leipzig-Wahren;Gröbers;16 km;15kVac;Gabarit continental;;
Gröbers;Halle (Saale) Hbf;11 km;15kVac;Gabarit continental;;
Leipzig Hbf;Halle (Saale) Hbf;31 km;15kVac;Gabarit continental;;
Großkorbetha;Merseburg Hbf;10 km;15kVac;Gabarit continental;;
Weißenfels;Merseburg Hbf;18 km;15kVac;Gabarit continental;;
Merseburg Hbf;Halle-Ammendorf;8 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Halle-Ammendorf;6 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Merseburg Hbf;14 km;15kVac;Gabarit continental;;
Erfurt Hbf;Halle (Saale) Hbf;109 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Bitterfeld;27 km;15kVac;Gabarit continental;;
Leipzig Hbf;Bitterfeld;58 km;15kVac;Gabarit continental;Via Halle (Saale) Hbf;
Bitterfeld;Pratau;36 km;15kVac;Gabarit continental;;
Pratau;Lutherstadt Wittenberg Hbf;3 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Lutherstadt Wittenberg Hbf;67 km;15kVac;Gabarit continental;;
Lutherstadt Wittenberg Hbf;Jüterbog;32 km;15kVac;Gabarit continental;;
Jüterbog;Ludwigsfelde;38 km;15kVac;Gabarit continental;;
Ludwigsfelde;Großbeeren;6 km;15kVac;Gabarit continental;;
Großbeeren;Teltow;4 km;15kVac;Gabarit continental;;
Teltow;Berlin-Lichterfelde Süd;3 km;15kVac;Gabarit continental;;
Berlin-Lichterfelde Süd;Berlin-Lichterfelde Ost;3 km;15kVac;Gabarit continental;Bahnstrecke Berlin–Halle;
Berlin-Lichterfelde Süd;Berlin-Lichterfelde Ost;3 km;750Vcc 3eme rail;Gabarit continental;Anhalter Vorortbahn;
Berlin-Lichterfelde Ost;Berlin Priesterweg;4 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Priesterweg;Berlin Südkreuz;2 km;750Vcc 3eme rail;Gabarit continental;;
Berlin-Lichterfelde Ost;Berlin Südkreuz;6 km;15kVac;Gabarit continental;Bahnstrecke Berlin–Halle;
Berlin-Lichterfelde Ost;Berlin Südkreuz;6 km;750Vcc 3eme rail;Gabarit continental;Anhalter Vorortbahn;
Halle (Saale) Hbf;Berlin Südkreuz;159 km;15kVac;Gabarit continental;;
Berlin Südkreuz;Berlin Anhalter Bf;4 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Anhalter Bf;Berlin Potsdamer Platz;1 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Südkreuz;Berlin Potsdamer Platz;4 km;15kVac;Gabarit continental;Bahnstrecke Berlin–Halle;
Berlin Südkreuz;Berlin Potsdamer Platz;4 km;750Vcc 3eme rail;Gabarit continental;Berliner Nordsüd S-Bahn;
Berlin Potsdamer Platz;Berlin Hbf-Lehrter;2 km;15kVac;Gabarit continental;Bahnstrecke Berlin–Halle;
Berlin Potsdamer Platz;Berlin Hbf-Lehrter;2 km;750Vcc 3eme rail;Gabarit continental;Berliner Nordsüd S-Bahn;
Berlin Südkreuz;Berlin Hbf-Lehrter;6 km;15kVac;Gabarit continental;Bahnstrecke Berlin–Halle;
Berlin Südkreuz;Berlin Hbf-Lehrter;6 km;750Vcc 3eme rail;Gabarit continental;Berliner Nordsüd S-Bahn;
Bitterfeld;Berlin Südkreuz;131 km;15kVac;Gabarit continental;;
Bitterfeld;Berlin Hbf-Lehrter;137 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Berlin Hbf-Lehrter;165 km;15kVac;Gabarit continental;;
Leipzig Hbf;Leipzig Nord;3 km;15kVac;Gabarit continental;;
Leipzig Nord;Leipzig Essener Strasse;1 km;15kVac;Gabarit continental;;
Leipzig Essener Strasse;Leipzig Messe;2 km;15kVac;Gabarit continental;;
Leipzig Nord;Leipzig Messe;4 km;15kVac;Gabarit continental;;
Leipzig Hbf;Leipzig Messe;6 km;15kVac;Gabarit continental;;
Leipzig Messe;Zschortau;10 km;15kVac;Gabarit continental;;
Zschortau;Delitzsch unt;5 km;15kVac;Gabarit continental;;
Bitterfeld;Delitzsch unt;13 km;15kVac;Gabarit continental;;
Leipzig Hbf;Bitterfeld;34 km;15kVac;Gabarit continental;;
Leipzig Hbf;Berlin Hbf-Lehrter;171 km;15kVac;Gabarit continental;;
Berlin Hbf-Lehrter;Berlin Wedding;2 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Wedding;Berlin Gesundbrunnen;2 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Hbf-Lehrter;Berlin Gesundbrunnen;4 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Hbf-Lehrter;Berlin Gesundbrunnen;4 km;15kVac;Gabarit continental;Fernbahn;
Ludwigsfelde;Ludwigsfelde Struveshof;10 km;15kVac;Gabarit continental;;
Ludwigsfelde Struveshof;Saarmund;6 km;15kVac;Gabarit continental;;
Saarmund;Potsdam Pirschheide;10 km;15kVac;Gabarit continental;;
Potsdam Pirschheide;Golm;5 km;15kVac;Gabarit continental;;
Saarmund;Golm;16 km;15kVac;Gabarit continental;;
Golm;Priort;12 km;15kVac;Gabarit continental;;
Priort;Elstal;5 km;15kVac;Gabarit continental;;
Elstal;Berlin-Staaken;10 km;15kVac;Gabarit continental;;
Berlin-Staaken;Berlin-Spandau;4 km;15kVac;Gabarit continental;Fernbahn;
Berlin-Staaken;Berlin-Spandau;4 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Leipzig Hbf;Berlin-Spandau;207 km;15kVac;Gabarit continental;Via Berliner Außenring;
Culmont-Chalindrey;Dijon-Ville;77 km;1.5kVcc & 25kVac;Gabarit continental;;
Erfurt Hbf;Berlin-Spandau;326 km;15kVac;Gabarit continental;Via Berliner Außenring;
Fulda;Berlin-Spandau;480 km;15kVac;Gabarit continental;Via Berliner Außenring;
Berlin-Spandau;Berlin-Heerstrasse;6 km;750Vcc 3eme rail;Gabarit continental;;
Berlin-Heerstrasse;Berlin Westkreuz;2 km;750Vcc 3eme rail;Gabarit continental;;
Berlin Westkreuz;Berlin Charlottenburg;1 km;750Vcc 3eme rail;Gabarit continental;;
Berlin-Spandau;Berlin Charlottenburg;9 km;15kVac;Gabarit continental;Fernbahn;
Berlin-Spandau;Berlin Charlottenburg;9 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Fulda;Berlin Charlottenburg;489 km;15kVac;Gabarit continental;Via Berliner Außenring;
Berlin Charlottenburg;Berlin Zoologischer Garten;2 km;15kVac;Gabarit continental;Fernbahn;
Berlin Charlottenburg;Berlin Zoologischer Garten;2 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Fulda;Berlin Zoologischer Garten;491 km;15kVac;Gabarit continental;Via Berliner Außenring;
Berlin Hbf-Lehrter;Berlin Zoologischer Garten;4 km;15kVac;Gabarit continental;Fernbahn;
Berlin Hbf-Lehrter;Berlin Zoologischer Garten;4 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Hbf-Lehrter;Berlin Friedrichstraße;1 km;15kVac;Gabarit continental;Fernbahn;
Berlin Hbf-Lehrter;Berlin Friedrichstraße;1 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Friedrichstraße;Berlin Alexanderplatz;2 km;15kVac;Gabarit continental;Fernbahn;
Berlin Friedrichstraße;Berlin Alexanderplatz;2 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Alexanderplatz;Berlin Ostbahnhof;2 km;15kVac;Gabarit continental;Fernbahn;
Berlin Alexanderplatz;Berlin Ostbahnhof;2 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Friedrichstraße;Berlin Ostbahnhof;4 km;15kVac;Gabarit continental;Fernbahn;
Berlin Friedrichstraße;Berlin Ostbahnhof;4 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Zoologischer Garten;Berlin Friedrichstraße;5 km;15kVac;Gabarit continental;Fernbahn;
Berlin Zoologischer Garten;Berlin Friedrichstraße;5 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Hbf-Lehrter;Berlin Ostbahnhof;5 km;15kVac;Gabarit continental;Fernbahn;
Berlin Hbf-Lehrter;Berlin Ostbahnhof;5 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Zoologischer Garten;Berlin Ostbahnhof;9 km;15kVac;Gabarit continental;Fernbahn;
Berlin Zoologischer Garten;Berlin Ostbahnhof;9 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin-Spandau;Berlin Jungfernheide;7 km;15kVac;Gabarit continental;;
Veynes-Dévoluy;Château-Arnoux-St-Auban;67 km;Non-electrifie;Gabarit continental;;
Berlin Wedding;Berlin Jungfernheide;5 km;15kVac;Gabarit continental;Fernbahn;
Berlin Wedding;Berlin Jungfernheide;5 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Ludwigsfelde;Waßmannsdorf;17 km;15kVac;Gabarit continental;;
Waßmannsdorf;Schönefeld;4 km;15kVac;Gabarit continental;Fernbahn;
Waßmannsdorf;Schönefeld;4 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Ludwigsfelde;Schönefeld;21 km;15kVac;Gabarit continental;;
Waßmannsdorf;BER Flughafen;4 km;750Vcc 3eme rail;Gabarit continental;;
Schönefeld;BER Flughafen;8 km;750Vcc 3eme rail;Gabarit continental;;
Ludwigsfelde;BER Flughafen;21 km;15kVac;Gabarit continental;;
BER Flughafen;Berlin Grünau;10 km;15kVac;Gabarit continental;;
Berlin Grünau;Berlin-Karlshorst;9 km;15kVac;Gabarit continental;;
Schönefeld;Berlin-Karlshorst;12 km;15kVac;Gabarit continental;;
Berlin-Karlshorst;Berlin Ostkreuz;5 km;15kVac;Gabarit continental;Fernbahn;
Berlin-Karlshorst;Berlin Ostkreuz;5 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
BER Flughafen;Berlin Ostkreuz;23 km;15kVac;Gabarit continental;;
Berlin Ostkreuz;Berlin Warschauer Straße;1 km;15kVac;Gabarit continental;Fernbahn;
Berlin Ostkreuz;Berlin Warschauer Straße;1 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Ostbahnhof;Berlin Warschauer Straße;1 km;15kVac;Gabarit continental;Fernbahn;
Berlin Ostbahnhof;Berlin Warschauer Straße;1 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Ostbahnhof;Berlin Ostkreuz;2 km;15kVac;Gabarit continental;Fernbahn;
Berlin Ostbahnhof;Berlin Ostkreuz;2 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Berlin Ostbahnhof;BER Flughafen;23 km;15kVac;Gabarit continental;Fernbahn;
Berlin Ostbahnhof;BER Flughafen;23 km;750Vcc 3eme rail;Gabarit continental;S-Bahn;
Bitterfeld;Berlin Ostbahnhof;151 km;15kVac;Gabarit continental;;
Halle (Saale) Hbf;Berlin Ostbahnhof;178 km;15kVac;Gabarit continental;;
Leipzig Hbf;Berlin Ostbahnhof;185 km;15kVac;Gabarit continental;;
Moirans;St Marcellin;31 km;25kVac;Gabarit continental;;
Grenoble;St Marcellin;49 km;25kVac;Gabarit continental;;
St Marcellin;Romans - Bourg-de-Péage;19 km;25kVac;Gabarit continental;;
Romans - Bourg-de-Péage;Valence TGV;9 km;25kVac;Gabarit continental;;
Valence-Ville;Valence TGV;11 km;1.5kVcc & 25kVac;Gabarit continental;;
Valence-Ville;Romans - Bourg-de-Péage;18 km;1.5kVcc & 25kVac;Gabarit continental;;
Valence-Ville;Grenoble;106 km;1.5kVcc & 25kVac;Gabarit continental;;
Marseille St Charles;Gardanne;25 km;Non-electrifie;Gabarit continental;;
Aix-en-Provence;Gardanne;11 km;Non-electrifie;Gabarit continental;;
Meyrargues;Aix-en-Provence;26 km;Non-electrifie;Gabarit continental;;
Pertuis;Meyrargues;7 km;Non-electrifie;Gabarit continental;;
Château-Arnoux-St-Auban;Meyrargues;67 km;Non-electrifie;Gabarit continental;;
Château-Arnoux-St-Auban;Pertuis;68 km;Non-electrifie;Gabarit continental;;
Marseille St Charles;Aix-en-Provence;36 km;Non-electrifie;Gabarit continental;;
Bastia;Ponte-Leccia;46 km;Non-electrifie;Ecartement metrique;;
Ponte-Leccia;Corte;27 km;Non-electrifie;Ecartement metrique;;
Corte;Ajaccio;84 km;Non-electrifie;Ecartement metrique;;
Ponte-Leccia;L\'île-Rousse;51 km;Non-electrifie;Ecartement metrique;;
L\'île-Rousse;Calvi;22 km;Non-electrifie;Ecartement metrique;;
Bastia;Corte;74 km;Non-electrifie;Ecartement metrique;;
Ponte-Leccia;Calvi;73 km;Non-electrifie;Ecartement metrique;;
Nice Sud-CP;Colomars;13 km;Non-electrifie;Ecartement metrique;;
Colomars;La Vésubie–Plan-du-Var;11 km;Non-electrifie;Ecartement metrique;;
La Vésubie–Plan-du-Var;Annot;53 km;Non-electrifie;Ecartement metrique;;
Annot;St-André-les-Alpes;28 km;Non-electrifie;Ecartement metrique;;
St-André-les-Alpes;Digne;44 km;Non-electrifie;Ecartement metrique;;
Nice Sud-CP;Annot;78 km;Non-electrifie;Ecartement metrique;;
Annot;Digne;72 km;Non-electrifie;Ecartement metrique;;
Nice Sud-CP;St-André-les-Alpes;106 km;Non-electrifie;Ecartement metrique;;
Nice Sud-CP;Digne;150 km;Non-electrifie;Ecartement metrique;;
Paris Gare de Lyon;Paris Nord;14 km;Non-electrifie;Gabarit continental;Par la Petite Ceinture;
St Hilaire de Chaléons;Paimbœuf;27 km;Non-electrifie;Gabarit continental;;
Nancy-Ville;Champigneulles;5 km;25kVac;Gabarit continental;;
Champigneulles;Frouard;3 km;25kVac;Gabarit continental;;
Nancy-Ville;Frouard;8 km;25kVac;Gabarit continental;;
Frouard;Toul;25 km;25kVac;Gabarit continental;;
Nancy-Ville;Toul;33 km;25kVac;Gabarit continental;;
Toul;Neufchâteau;43 km;25kVac;Gabarit continental;;
Neufchâteau;Merrey;40 km;25kVac;Gabarit continental;;
Culmont-Chalindrey;Merrey;35 km;25kVac;Gabarit continental;;
Culmont-Chalindrey;Toul;118 km;25kVac;Gabarit continental;;
Culmont-Chalindrey;Nancy-Ville;151 km;25kVac;Gabarit continental;;
Culmont-Chalindrey;Is-sur-Tille;44 km;25kVac;Gabarit continental;;
Is-sur-Tille;Dijon-Porte-Neuve;25 km;1.5kVcc & 25kVac;Gabarit continental;;
Dijon-Ville;Dijon-Porte-Neuve;8 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Is-sur-Tille;33 km;1.5kVcc & 25kVac;Gabarit continental;;
Dijon-Ville;Nancy-Ville;228 km;1.5kVcc & 25kVac;Gabarit continental;;
Luxembourg;Dommeldange;4 km;25kVac;Gabarit continental;;
Dommeldange;Schieren;24 km;25kVac;Gabarit continental;;
Schieren;Ettelbruck;2 km;25kVac;Gabarit continental;;
Luxembourg;Ettelbruck;31 km;25kVac;Gabarit continental;;
Ettelbruck;Kautenbach;15 km;25kVac;Gabarit continental;;
Kautenbach;Wiltz;9 km;25kVac;Gabarit continental;;
Kautenbach;Troisvierges;24 km;25kVac;Gabarit continental;;
Ettelbruck;Troisvierges;38 km;25kVac;Gabarit continental;;
Luxembourg;Troisvierges;69 km;25kVac;Gabarit continental;;
Troisvierges;Gouvy;10 km;25kVac;Gabarit continental;;
Paris St-Lazare;Évreux-Normandie;107 km;25kVac;Gabarit continental;;
Bordeaux St-Jean;Paris Montparnasse;569 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Atlantique et ligne classique;
Paris Nord;London Waterloo;578 km;750Vcc 3eme rail & 25kVac & Aptitude tunnel sous la Manche;Gabarit britannique;(Par LGV);
Bruxelles-Midi;London Waterloo;436 km;750Vcc 3eme rail & 3kVcc & 25kVac & Aptitude tunnel sous la Manche;Gabarit britannique;(Par LGV);
Paris Nord;London St Pancras;492 km;25kVac & Aptitude tunnel sous la Manche;Gabarit continental;(Par LGV);
Lille-Europe;London St Pancras;264 km;25kVac & Aptitude tunnel sous la Manche;Gabarit continental;(Par LGV);
Lille-Europe;Calais-Fréthun;101 km;25kVac;Gabarit continental;(Par LGV);
Paris Gare de Lyon;Genève-Cornavin;603 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Lille-Europe;Dunkerque;80 km;25kVac;Gabarit continental;(Par LGV);
Paris Montparnasse;Le Mans;202 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Lyon Perrache;Marseille St Charles;321 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Bordeaux St-Jean;Paris Montparnasse;555 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Océane;X
Paris Montparnasse;St Pierre des Corps;213 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Massy;Marne-la-Vallée - Chessy;46 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Marne-la-Vallée - Chessy;Aéroport Charles de Gaulle;24 km;25kVac;Gabarit continental;(Par LGV);
Massy;St Pierre des Corps;201 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Lille-Europe;Aéroport Charles de Gaulle;224 km;25kVac;Gabarit continental;(Par LGV);X
Paris Gare de Lyon;Marseille St Charles;747 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Bordeaux St-Jean;St Pierre des Corps;342 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Paris Montparnasse;Tours;217 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Paris Gare de Lyon;Lyon Perrache;443 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Paris Nord;Lille Flandres;228 km;25kVac;Gabarit continental;(Par LGV);
Paris Nord;Lille-Europe;228 km;25kVac;Gabarit continental;(Par LGV);
Paris Nord;Bruxelles-Midi;316 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);X
Paris Est;Strasbourg-Ville;406 km;25kVac;Gabarit continental;(Par LGV);X
Bruxelles-Midi;Amsterdam Centraal;199 km;1.5kVcc & 3kVcc & 25kVac;Gabarit continental;(Par LGV);X
Bordeaux St-Jean;Massy;555 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Atlantique et ligne classique;
Bordeaux St-Jean;Massy;541 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Océane;
Karlsruhe Hbf;Mannheim Hbf;60 km;15kVac;Gabarit continental;(Par LGV);
Paris Gare de Lyon;Dijon-Ville;263 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Dijon-Ville;Besançon Franche-Comté TGV;77 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Paris Gare de Lyon;Lyon Part-Dieu;408 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Marne-la-Vallée - Chessy;Lyon Part-Dieu;392 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Marne-la-Vallée - Chessy;Lyon St Exupéry;393 km;25kVac;Gabarit continental;(Par LGV);
Leuven;Liège-Guillemins;71 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Bruxelles-Nord;Liège-Guillemins;100 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);
Bruxelles-Midi;Liège-Guillemins;104 km;3kVcc & 25kVac;Gabarit continental;(Par LGV);X
Rotterdam Centraal;Schiphol Airport;53 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Amsterdam Centraal;Rotterdam Centraal;70 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
London St Pancras;Ebbsfleet International;37 km;25kVac;Gabarit continental;(Par LGV);
Ebbsfleet International;Ashford;54 km;25kVac;Gabarit continental;(Par LGV);
Karlsruhe Hbf;Stuttgart Hbf;81 km;15kVac;Gabarit continental;(Par LGV);
Mannheim Hbf;Stuttgart Hbf;107 km;15kVac;Gabarit continental;(Par LGV);
Freiburg am Breisgau Hbf;Basel Bad Bf;58 km;15kVac;Gabarit continental;(Par LGV);
Basel Bad Bf;Müllheim;29 km;15kVac;Gabarit continental;(Par LGV);
Bordeaux St-Jean;Angoulême;114 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);X
Bordeaux St-Jean;Poitiers;223 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Frankfurt am Main Flughafen;Mainz Hbf;24 km;15kVac;Gabarit continental;(Par LGV);
Paris Montparnasse;Toulouse-Matabiau;811 km;1.5kVcc & 25kVac;Gabarit continental;Par LGV Océane, sans arrêt à Bordeaux St Jean;
Perpignan;Figueras - Vilafant;51 km;1.5kVcc & 25kVac;Gabarit continental;(Par LGV);
Figueras - Vilafant;Girona;35 km;25kVac;Gabarit continental;(Par LGV);
Aéroport Charles de Gaulle;Tourcoing;207 km;25kVac;Gabarit continental;(Par LGV);
Paris Est;Champagne-Ardenne TGV;136 km;25kVac;Gabarit continental;(Par LGV);
Paris Est;Reims;145 km;25kVac;Gabarit continental;(Par LGV);
Paris Est;Châlons-en-Champagne;186 km;25kVac;Gabarit continental;(Par LGV);
Châlons-en-Champagne;Champagne-Ardenne TGV;50 km;25kVac;Gabarit continental;(Par LGV);
Paris Est;Nancy-Ville;329 km;25kVac;Gabarit continental;(Par LGV);
Paris Est;Metz-Ville;314 km;25kVac;Gabarit continental;(Par LGV);
Marne-la-Vallée - Chessy;Nancy-Ville;307 km;25kVac;Gabarit continental;(Par LGV);
Aéroport Charles de Gaulle;Nancy-Ville;308 km;25kVac;Gabarit continental;(Par LGV);
Marne-la-Vallée - Chessy;Metz-Ville;292 km;25kVac;Gabarit continental;(Par LGV);
Aéroport Charles de Gaulle;Metz-Ville;293 km;25kVac;Gabarit continental;(Par LGV);
Strasbourg-Ville;Marne-la-Vallée - Chessy;384 km;25kVac;Gabarit continental;(Par LGV);
Strasbourg-Ville;Aéroport Charles de Gaulle;385 km;25kVac;Gabarit continental;(Par LGV);
